file,player_id,cluster,archetype
003201673717864202280_0171883906.dem,P10290,3,Budget Headshotter
003201673717864202280_0171883906.dem,P05292,0,Utility Support
003201673717864202280_0171883906.dem,P08443,3,Budget Headshotter
003201673717864202280_0171883906.dem,P08152,2,Star Fragger
003201673717864202280_0171883906.dem,P05913,2,Star Fragger
003201673717864202280_0171883906.dem,P08116,3,Budget Headshotter
003201673717864202280_0171883906.dem,P04245,1,Heavy-Weapon Anchor
003201673717864202280_0171883906.dem,P07135,3,Budget Headshotter
003201673717864202280_0171883906.dem,P04928,3,Budget Headshotter
003201673717864202280_0171883906.dem,P00688,0,Utility Support
003201766426880770095_1255641334.dem,P08157,3,Budget Headshotter
003201766426880770095_1255641334.dem,P07891,3,Budget Headshotter
003201766426880770095_1255641334.dem,P04871,3,Budget Headshotter
003201766426880770095_1255641334.dem,P09005,2,Star Fragger
003201766426880770095_1255641334.dem,P03757,3,Budget Headshotter
003201766426880770095_1255641334.dem,P02087,1,Heavy-Weapon Anchor
003201766426880770095_1255641334.dem,P03817,0,Utility Support
003201766426880770095_1255641334.dem,P05636,1,Heavy-Weapon Anchor
003201766426880770095_1255641334.dem,P01589,1,Heavy-Weapon Anchor
003201766426880770095_1255641334.dem,P07897,2,Star Fragger
003201817199836659927_0341783733.dem,P03136,1,Heavy-Weapon Anchor
003201817199836659927_0341783733.dem,P10395,3,Budget Headshotter
003201817199836659927_0341783733.dem,P03319,3,Budget Headshotter
003201817199836659927_0341783733.dem,P01984,1,Heavy-Weapon Anchor
003201817199836659927_0341783733.dem,P05161,1,Heavy-Weapon Anchor
003201817199836659927_0341783733.dem,P10798,3,Budget Headshotter
003201817199836659927_0341783733.dem,P09055,0,Utility Support
003201817199836659927_0341783733.dem,P08809,1,Heavy-Weapon Anchor
003201817199836659927_0341783733.dem,P10319,2,Star Fragger
003201817199836659927_0341783733.dem,P03624,3,Budget Headshotter
003208598014746689537_1642267853.dem,P05566,0,Utility Support
003208598014746689537_1642267853.dem,P01464,0,Utility Support
003208598014746689537_1642267853.dem,P02091,0,Utility Support
003208598014746689537_1642267853.dem,P01772,0,Utility Support
003208598014746689537_1642267853.dem,P04611,1,Heavy-Weapon Anchor
003208598014746689537_1642267853.dem,P09858,3,Budget Headshotter
003208598014746689537_1642267853.dem,P01549,1,Heavy-Weapon Anchor
003208598014746689537_1642267853.dem,P06916,3,Budget Headshotter
